facility_id,facility_name,district,province,tier_level,gps_lat,gps_lon,nicu_available,nicu_beds,incubators_functional,incubators_total,radiant_warmers,phototherapy_units,cpap_machines,resuscitation_tables,kangaroo_care_space,electricity_reliable,backup_generator,reporting_month,total_deliveries,live_births,neonatal_deaths_0_7d,neonatal_deaths_8_28d,stillbirths,death_birth_asphyxia,death_prematurity,death_sepsis,death_congenital,death_other,avg_gestational_age,preterm_births_28_32w,preterm_births_32_37w,apgar_less_7_at_5min,birth_weight_less_2500g,newborn_protocol_exists,protocol_last_updated,death_audits_conducted_pct,staff_trained_on_protocol_pct,quality_improvement_active,supervision_visits_quarterly,hmis_reporting_completeness,bag_mask_ventilation_competency,thermal_care_protocol_compliance,infection_prevention_score,total_nurses,neonatal_trained_nurses,midwives,obstetricians,pediatricians,neonatologists,anesthetists,last_neonatal_training_date,staff_per_delivery_2024,night_shift_coverage,avg_referral_time_hrs,referrals_out_monthly,referrals_in_monthly,oxygen_cylinders_available,oxygen_concentrators,oxygen_plant,ambulance_available,kangaroo_care_practiced,essential_drugs_stockouts_days,antibiotics_available,surfactant_available,referral_feedback_rate,reporting_quarter,year_quarter
NYA001,Nyarugenge Hospital,Nyarugenge,Kigali City,Provincial,-2.6323,30.0791,Partial,0,6,8,5,2,2,2,Partial,Yes,Yes,2024-01-01,258,255,6,2,3,2,2,2,1,1,36.8,6,23,12,50,Yes,2025-03,63%,48%,Yes,2,89%,52%,43%,55%,53,3,19,2,1,0,3,2025-03,0.02,Full,2.1,23,30,10,5,No,No,Partial,14,Usually,No,70%,Q1,2024_Q1
NYA001,Nyarugenge Hospital,Nyarugenge,Kigali City,Provincial,-2.6323,30.0791,Partial,0,6,8,5,2,2,2,Partial,Yes,Yes,2024-01-01,212,204,6,2,8,2,2,1,1,2,36.6,6,16,9,40,Yes,2025-03,63%,48%,Yes,2,89%,52%,43%,55%,53,3,19,2,1,0,3,2025-03,0.02,Full,2.1,23,30,10,5,No,No,Partial,14,Usually,No,70%,Q1,2024_Q1
NYA001,Nyarugenge Hospital,Nyarugenge,Kigali City,Provincial,-2.6323,30.0791,Partial,0,6,8,5,2,2,2,Partial,Yes,Yes,2024-03-01,242,232,7,2,10,2,3,2,0,2,38.1,9,20,10,38,Yes,2025-03,63%,48%,Yes,2,89%,52%,43%,55%,53,3,19,2,1,0,3,2025-03,0.02,Full,2.1,23,30,10,5,No,No,Partial,14,Usually,No,70%,Q1,2024_Q1
NYA001,Nyarugenge Hospital,Nyarugenge,Kigali City,Provincial,-2.6323,30.0791,Partial,0,6,8,5,2,2,2,Partial,Yes,Yes,2024-03-01,237,228,6,1,9,1,2,1,0,3,36.6,6,21,14,32,Yes,2025-03,63%,48%,Yes,2,89%,52%,43%,55%,53,3,19,2,1,0,3,2025-03,0.02,Full,2.1,23,30,10,5,No,No,Partial,14,Usually,No,70%,Q1,2024_Q1
NYA001,Nyarugenge Hospital,Nyarugenge,Kigali City,Provincial,-2.6323,30.0791,Partial,0,6,8,5,2,2,2,Partial,Yes,Yes,2024-04-01,329,322,5,2,7,2,2,2,0,1,37.7,8,27,12,63,Yes,2025-03,63%,48%,Yes,2,89%,52%,43%,55%,53,3,19,2,1,0,3,2025-03,0.02,Full,2.1,23,30,10,5,No,No,Partial,14,Usually,No,70%,Q2,2024_Q2
NYA001,Nyarugenge Hospital,Nyarugenge,Kigali City,Provincial,-2.6323,30.0791,Partial,0,6,8,5,2,2,2,Partial,Yes,Yes,2024-05-01,286,280,4,3,6,2,2,1,0,2,38.4,7,35,12,52,Yes,2025-03,63%,48%,Yes,2,89%,52%,43%,55%,53,3,19,2,1,0,3,2025-03,0.02,Full,2.1,23,30,10,5,No,No,Partial,14,Usually,No,70%,Q2,2024_Q2
NYA001,Nyarugenge Hospital,Nyarugenge,Kigali City,Provincial,-2.6323,30.0791,Partial,0,6,8,5,2,2,2,Partial,Yes,Yes,2024-06-01,205,202,4,1,3,1,1,1,0,2,38.0,6,18,12,38,Yes,2025-03,63%,48%,Yes,2,89%,52%,43%,55%,53,3,19,2,1,0,3,2025-03,0.02,Full,2.1,23,30,10,5,No,No,Partial,14,Usually,No,70%,Q2,2024_Q2
NYA001,Nyarugenge Hospital,Nyarugenge,Kigali City,Provincial,-2.6323,30.0791,Partial,0,6,8,5,2,2,2,Partial,Yes,Yes,2024-07-01,207,200,6,2,7,2,2,1,0,3,38.2,8,24,15,35,Yes,2025-03,63%,48%,Yes,2,89%,52%,43%,55%,53,3,19,2,1,0,3,2025-03,0.02,Full,2.1,23,30,10,5,No,No,Partial,14,Usually,No,70%,Q3,2024_Q3
NYA001,Nyarugenge Hospital,Nyarugenge,Kigali City,Provincial,-2.6323,30.0791,Partial,0,6,8,5,2,2,2,Partial,Yes,Yes,2024-08-01,307,299,7,4,8,3,3,2,0,3,36.6,7,42,13,33,Yes,2025-03,63%,48%,Yes,2,89%,52%,43%,55%,53,3,19,2,1,0,3,2025-03,0.02,Full,2.1,23,30,10,5,No,No,Partial,14,Usually,No,70%,Q3,2024_Q3
NYA001,Nyarugenge Hospital,Nyarugenge,Kigali City,Provincial,-2.6323,30.0791,Partial,0,6,8,5,2,2,2,Partial,Yes,Yes,2024-09-01,205,201,5,1,4,1,1,1,0,3,37.1,4,27,14,21,Yes,2025-03,63%,48%,Yes,2,89%,52%,43%,55%,53,3,19,2,1,0,3,2025-03,0.02,Full,2.1,23,30,10,5,No,No,Partial,14,Usually,No,70%,Q3,2024_Q3
